team,home_wins,away_wins,home_matches,away_matches,home_win_percentage,away_win_percentage
Pune,5,5,8,8,62.5,62.5
Mumbai,58,51,101,86,57.42574257425742,59.30232558139535
Chennai,51,49,89,75,57.30337078651685,65.33333333333333
Delhi,3,7,6,10,50.0,70.0
Hyderabad,30,28,63,45,47.61904761904761,62.22222222222222
Rajasthan,29,46,67,80,43.28358208955223,57.49999999999999
Deccan,18,11,43,32,41.86046511627907,34.375
Punjab,38,44,91,85,41.75824175824176,51.76470588235295
Bangalore,35,49,85,95,41.17647058823529,51.578947368421055
Kolkata,34,58,83,95,40.963855421686745,61.05263157894737
Delhi,25,42,72,89,34.72222222222222,47.19101123595505
Pune,6,6,20,26,30.0,23.076923076923077
Kerala,2,4,7,7,28.57142857142857,57.14285714285714
Gujarat,1,12,14,16,7.142857142857142,75.0
