"team","home_wins","away_wins","home_matches","away_matches","home_win_percentage","away_win_percentage","total_wins"
"Pune",5,5,8,8,62.5,62.5,10
"Mumbai",58,51,101,86,57.4257425742574,59.3023255813954,109
"Chennai",51,49,89,75,57.3033707865169,65.3333333333333,100
"Delhi",3,7,6,10,50,70,10
"Hyderabad",30,28,63,45,47.6190476190476,62.2222222222222,58
"Rajasthan",29,46,67,80,43.2835820895522,57.5,75
"Deccan",18,11,43,32,41.8604651162791,34.375,29
"Punjab",38,44,91,85,41.7582417582418,51.7647058823529,82
"Bangalore",35,49,85,95,41.1764705882353,51.5789473684211,84
"Kolkata",34,58,83,95,40.9638554216867,61.0526315789474,92
"Delhi",25,42,72,89,34.7222222222222,47.1910112359551,67
"Pune",6,6,20,26,30,23.0769230769231,12
"Kerala",2,4,7,7,28.5714285714286,57.1428571428571,6
"Gujarat",1,12,14,16,7.14285714285714,75,13
